0,7
0,73
0,737
0,7373
0,73737
1,8
11,84
111,848
1111,8484
11111,84848
2,9
22,95
222,959
2222,9595
22222,95959
3,0
33,6
333,60
3333,606
33333,6060
4,1
44,17
444,171
4444,1717
44444,17171
5,2
55,28
555,282
5555,2828
55555,28282
6,3
66,39
666,393
6666,3939
66666,39393
7,4
77,40
777,404
7777,4040
77777,40404
8,5
88,51
888,515
8888,5151
88888,51515
9,6
99,62
999,626
9999,6262
99999,62626
a,x
aa,xd
aaa,xdx
aaaa,xdxd
aaaaa,xdxdx
b,y
bb,ye
bbb,yey
bbbb,yeye
bbbbb,yeyey
c,z
cc,zf
ccc,zfz
cccc,zfzf
ccccc,zfzfz
d,a
dd,ag
ddd,aga
dddd,agag
ddddd,agaga
e,b
ee,bh
eee,bhb
eeee,bhbh
eeeee,bhbhb
f,c
ff,ci
fff,cic
ffff,cici
fffff,cicic
g,d
gg,dj
ggg,djd
gggg,djdj
ggggg,djdjd
h,e
hh,ek
hhh,eke
hhhh,ekek
hhhhh,ekeke
i,f
ii,fl
iii,flf
iiii,flfl
iiiii,flflf
j,g
jj,gm
jjj,gmg
jjjj,gmgm
jjjjj,gmgmg
k,h
kk,hn
kkk,hnh
kkkk,hnhn
kkkkk,hnhnh
l,i
ll,io
lll,ioi
llll,ioio
lllll,ioioi
m,j
mm,jp
mmm,jpj
mmmm,jpjp
mmmmm,jpjpj
n,k
nn,kq
nnn,kqk
nnnn,kqkq
nnnnn,kqkqk
o,l
oo,lr
ooo,lrl
oooo,lrlr
ooooo,lrlrl
p,m
pp,ms
ppp,msm
pppp,msms
ppppp,msmsm
q,n
qq,nt
qqq,ntn
qqqq,ntnt
qqqqq,ntntn
r,o
rr,ou
rrr,ouo
rrrr,ouou
rrrrr,ououo
s,p
ss,pv
sss,pvp
ssss,pvpv
sssss,pvpvp
t,q
tt,qw
ttt,qwq
tttt,qwqw
ttttt,qwqwq
u,r
uu,rx
uuu,rxr
uuuu,rxrx
uuuuu,rxrxr
v,s
vv,sy
vvv,sys
vvvv,sysy
vvvvv,sysys
w,t
ww,tz
www,tzt
wwww,tztz
wwwww,tztzt
x,u
xx,ua
xxx,uau
xxxx,uaua
xxxxx,uauau
y,v
yy,vb
yyy,vbv
yyyy,vbvb
yyyyy,vbvbv
z,w
zz,wc
zzz,wcw
zzzz,wcwc
zzzzz,wcwcw
abcdefghijklmnopqrstuvwxyz,xezgbidkfmhojqlsnupwrytavc
1234567890,8507294163
